Time,Coin,Price,24h Change,Market Cap
2025-12-07 18:39:11,"CoinMarketCap 20 Index DTF
CMC20
Buy",$189.56,0.46%,1.79%
2025-12-07 18:39:11,"Bitcoin
BTC
Buy","$89,462.67",0.40%,2.19%
2025-12-07 18:39:11,"Ethereum
ETH
Buy","$3,048.86",0.49%,0.80%
2025-12-07 18:39:11,"Tether
USDT
Buy",$1.00,0.00%,0.00%
2025-12-07 18:39:11,"XRP
XRP
Buy",$2.04,0.70%,6.85%
2025-12-07 18:39:11,"BNB
BNB
Buy",$893.24,0.54%,1.17%
2025-12-07 18:39:11,"USDC
USDC
Buy",$1.00,0.01%,0.01%
2025-12-07 18:39:11,"Solana
SOL
Buy",$133.02,0.47%,3.28%
2025-12-07 18:39:11,"TRON
TRX
Buy",$0.2850,0.03%,1.35%
2025-12-07 18:39:11,"Dogecoin
DOGE
Buy",$0.1397,0.58%,6.57%
2025-12-07 18:42:07,"CoinMarketCap 20 Index DTF
CMC20
Buy",$189.51,0.44%,1.84%
2025-12-07 18:42:07,"Bitcoin
BTC
Buy","$89,343.37",0.09%,2.32%
2025-12-07 18:42:07,"Ethereum
ETH
Buy","$3,041.31",0.02%,0.55%
2025-12-07 18:42:07,"Tether
USDT
Buy",$1.00,0.00%,0.02%
2025-12-07 18:42:07,"XRP
XRP
Buy",$2.04,0.28%,6.87%
2025-12-07 18:42:07,"BNB
BNB
Buy",$892.15,0.30%,0.77%
2025-12-07 18:42:07,"USDC
USDC
Buy",$1.00,0.01%,0.01%
2025-12-07 18:42:07,"Solana
SOL
Buy",$132.75,0.04%,3.51%
2025-12-07 18:42:07,"TRON
TRX
Buy",$0.2849,0.06%,1.33%
2025-12-07 18:42:07,"Dogecoin
DOGE
Buy",$0.1394,0.23%,6.83%
2025-12-07 18:45:43,"CoinMarketCap 20 Index DTF
CMC20
Buy",$189.44,0.36%,1.88%
2025-12-07 18:45:43,"Bitcoin
BTC
Buy","$89,363.40",0.19%,2.30%
2025-12-07 18:45:43,"Ethereum
ETH
Buy","$3,043.91",0.14%,0.62%
2025-12-07 18:45:43,"Tether
USDT
Buy",$1.00,0.01%,0.00%
2025-12-07 18:45:43,"XRP
XRP
Buy",$2.04,0.47%,6.99%
2025-12-07 18:45:43,"BNB
BNB
Buy",$891.44,0.18%,0.70%
2025-12-07 18:45:43,"USDC
USDC
Buy",$0.9999,0.02%,0.01%
2025-12-07 18:45:43,"Solana
SOL
Buy",$132.53,0.26%,3.72%
2025-12-07 18:45:43,"TRON
TRX
Buy",$0.2849,0.02%,1.29%
2025-12-07 18:45:43,"Dogecoin
DOGE
Buy",$0.1391,0.40%,6.98%
2025-12-07 18:49:26,"CoinMarketCap 20 Index DTF
CMC20
Buy",$189.42,0.34%,1.92%
2025-12-07 18:49:26,"Bitcoin
BTC
Buy","$89,363.16",0.05%,2.54%
2025-12-07 18:49:26,"Ethereum
ETH
Buy","$3,044.60",0.01%,0.32%
2025-12-07 18:49:26,"Tether
USDT
Buy",$1.00,0.00%,0.02%
2025-12-07 18:49:26,"XRP
XRP
Buy",$2.04,0.28%,7.05%
2025-12-07 18:49:26,"BNB
BNB
Buy",$891.23,0.11%,0.60%
2025-12-07 18:49:26,"USDC
USDC
Buy",$1.00,0.00%,0.02%
2025-12-07 18:49:26,"Solana
SOL
Buy",$132.50,0.21%,3.87%
2025-12-07 18:49:26,"TRON
TRX
Buy",$0.2849,0.02%,1.28%
2025-12-07 18:49:26,"Dogecoin
DOGE
Buy",$0.1391,0.23%,7.05%
2025-12-07 19:30:12,"CoinMarketCap 20 Index DTF
CMC20
Buy",$188.85,0.44%,2.70%
2025-12-07 19:30:12,"Bitcoin
BTC
Buy","$89,069.56",0.48%,2.95%
2025-12-07 19:30:12,"Ethereum
ETH
Buy","$3,032.86",0.51%,0.53%
2025-12-07 19:30:12,"Tether
USDT
Buy",$1.00,0.00%,0.02%
2025-12-07 19:30:12,"XRP
XRP
Buy",$2.03,0.86%,7.79%
2025-12-07 19:30:12,"BNB
BNB
Buy",$887.27,0.67%,0.93%
2025-12-07 19:30:12,"USDC
USDC
Buy",$1.00,0.00%,0.02%
2025-12-07 19:30:12,"Solana
SOL
Buy",$131.90,0.77%,5.26%
2025-12-07 19:30:12,"TRON
TRX
Buy",$0.2850,0.00%,1.11%
2025-12-07 19:30:12,"Dogecoin
DOGE
Buy",$0.1384,0.98%,7.99%
2025-12-08 18:12:43,"CoinMarketCap 20 Index DTF
CMC20
Buy",$195.05,0.13%,7.55%
2025-12-08 18:12:43,"Bitcoin
BTC
Buy","$91,799.33",0.18%,7.21%
2025-12-08 18:12:43,"Ethereum
ETH
Buy","$3,131.58",0.46%,11.31%
2025-12-08 18:12:43,"Tether
USDT
Buy",$1.00,0.00%,0.04%
2025-12-08 18:12:43,"XRP
XRP
Buy",$2.09,0.07%,3.31%
